Invoice ID,Customer Name,Service,Invoice Date,Amount ($),Paid
c086ec8a-9bf1-4875-b048-2bc61ffa2648,Troy Jimenez,IT Support,2024-12-28,1155.44,Yes
0f340c7c-491e-461b-a830-bdfbfb4cd99e,Michael Brown,Data Analysis,2024-08-02,2353.99,Yes
c5c6abf8-b1e9-4039-9e18-0a3aefaf1095,Jose Ryan,Cloud Hosting,2024-05-12,1240.94,Yes
679bfd5f-1740-4cc4-ad07-631674c444cf,Brett Patrick,SEO Optimization,2025-02-04,3047.07,Yes
ecd3538a-55a2-4809-a10f-4e998c8cdad0,Joshua Larson,Cloud Hosting,2024-12-11,1370.29,No
0297733a-86b2-4043-b6a5-11a2bd1ff66b,Jordan Johnston,Cloud Hosting,2024-06-12,4744.97,No
bd2a72b9-6e6d-4542-ae79-58f451f84161,Jill Boyd,IT Support,2024-11-25,2257.43,Yes
830e0452-2a85-4ec1-9dfd-c3293ea8e7d1,Jason Buck,App Development,2025-03-27,2638.44,Yes
2f5d49fc-2351-402d-b691-28e96465a295,Antonio Peck Jr.,Data Analysis,2024-09-26,788.22,Yes
ecc6533f-60b8-48ac-ab91-a9db4d4446f0,Kayla Jackson,Web Design,2024-08-09,4919.92,No
5b320baf-c1c6-4856-96a9-73c49678925b,Lawrence Mitchell,Data Analysis,2025-01-06,1792.95,Yes
dd229030-07d7-42c5-bdd9-1cf61209bf86,Barbara Cruz,Cloud Hosting,2024-06-15,1004.77,Yes
a402dbf9-63c0-4cb1-9023-47e2d7ce950d,Shannon Thompson,IT Support,2024-06-28,2677.41,No
e1d9553e-85c9-4d10-8384-9d61a1f22bc1,Jennifer Young,SEO Optimization,2024-11-27,4183.91,Yes
2eae8f1e-9a39-4e85-bbae-7893ea2363a5,Paul Davis,Web Design,2024-08-27,707.43,No
41a0d750-36ad-4511-8126-a2db7dac958d,Samuel Thomas,App Development,2024-05-10,1290.7,No
9b143a66-a6ec-4ceb-968f-436043ee6216,Amy Griffin,Cloud Hosting,2025-03-04,169.72,Yes
9e5f1b4f-4147-43d5-aa84-83cadeac5d8d,Kimberly Garcia,SEO Optimization,2025-03-21,4084.72,No
b4aa0c80-95aa-47ce-9685-b742d224ca85,Stephen Steele,Data Analysis,2024-07-08,3370.66,Yes
d231af2c-37b2-4e07-8fa7-28c5cf10721f,James Garcia,Cloud Hosting,2024-12-02,2429.17,No
fe88210b-3b46-4de6-9d48-30cebe5bc995,Heather Lewis,App Development,2024-12-17,3833.89,No
fb5c476a-5e95-43de-982c-0af850867bd9,Sarah James,Web Design,2024-11-25,2989.52,Yes
dd6a8f3a-4586-40bd-b3ad-34bf00e3c740,Renee Aguirre,App Development,2024-05-11,1849.3,Yes
37455cc8-9851-4e69-bf68-37134a10c021,Heather Nelson,App Development,2025-04-09,4016.01,Yes
243053ad-d954-4693-a769-553bc995237a,Julia Decker,IT Support,2024-07-22,284.89,Yes
96815076-ef1a-4e23-83f1-bb4ca9697dd8,Lauren Hill MD,Web Design,2025-01-16,3850.74,Yes
542916e4-4633-42d7-9923-93b04c6f8565,Anita Brown,Cloud Hosting,2024-10-28,1796.86,Yes
f2f8d144-32db-4fca-afbe-03e73161fbda,Frank Martin,Web Design,2024-06-28,2022.09,No
8e48abde-96bf-4d6a-9c7f-429f303d212e,Lisa Brown,IT Support,2024-09-03,2564.81,Yes
86ee599b-e39f-4608-aa61-cf0c9bb12b5d,Beth Williams,SEO Optimization,2024-06-07,443.38,Yes
1ded8e85-5e6f-4c4f-960c-af3c28fb5832,Angel Miller,IT Support,2024-10-19,3258.87,Yes
5489df9e-72cd-4bc7-8cee-26933f665f56,Alexis Williams,SEO Optimization,2024-05-09,480.5,Yes
61f30f50-b331-4e02-8999-42b9d8bcf8f1,Richard Ramirez,Data Analysis,2025-01-23,3955.03,No
da82a1d4-91ac-4de2-83f4-3eec7ecca718,Kathy Fernandez,Cloud Hosting,2024-11-13,110.5,Yes
164f7712-d573-47d5-8c40-f468e0a1a40c,Troy Hall,Cloud Hosting,2024-07-03,1523.28,Yes
666c6579-df75-4bf9-a56a-1b39c46bb820,Cassandra Nguyen,App Development,2025-01-11,4880.33,Yes
af146f57-513f-4220-83b9-a9b16579d77a,Katie Meyer,IT Support,2024-10-02,2718.3,Yes
a918fc9c-0f8a-451c-8206-d05f2e048e17,Emily Foster,IT Support,2024-11-14,1040.02,No
fe5c76e7-7aa1-47dc-b7f7-2d5d1857e027,Betty Brown,Data Analysis,2024-07-14,2247.85,No
5da123cd-4338-4a20-b637-1f5355cb514f,Paul Jackson,SEO Optimization,2025-02-27,4906.6,No
afeffa5a-e753-46a2-a218-230b0d57e826,Laura Diaz,App Development,2024-12-26,4470.33,Yes
48e520f1-61ac-4d49-9a61-267eaa01a445,Marc Swanson,Data Analysis,2024-09-22,947.9,No
4c460e64-134d-4c70-868d-2b2af01656cc,Mrs. Kelly Knight,SEO Optimization,2024-08-30,3546.67,Yes
e3dadadb-816c-468d-b080-3efd3c33dad1,Alejandro Barry,SEO Optimization,2024-07-17,588.45,No
e68d4b2a-eec9-40a6-b779-8d94299d6f01,Elizabeth Daniel,Cloud Hosting,2024-10-10,2858.53,No
a96166bc-7ec9-439f-802f-fb42f8803766,Glenn Brown,Web Design,2024-11-14,2406.47,Yes
da55e234-f3d8-4e74-b581-720dd24854d0,Sarah Johnson,Cloud Hosting,2024-09-18,889.42,Yes
e061ffd3-4c67-47ab-894a-2388f2871ef6,Kevin Baker,IT Support,2024-05-19,651.17,Yes
b756c39d-51d6-4bea-a300-5ae29469b046,Kenneth Duran,IT Support,2024-05-19,1940.68,Yes
cdc2cf51-97c6-4c74-b03b-9c5bc39302c5,Scott Steele,IT Support,2024-09-07,2497.68,Yes
34ecd4e0-b4b8-443c-83db-6c4269b81be2,Alexander Valdez,Data Analysis,2024-07-17,3138.33,No
c178a802-64ac-4ce9-83ec-449afe6fbe1a,Rebecca Keller,Cloud Hosting,2025-01-06,3076.5,Yes
fb611608-1db5-4f3a-acd1-47d7bd3798ad,Lauren Long,App Development,2024-06-29,3298.43,No
066ff25f-9acc-4c1e-aa48-9024b0b564d8,Robert Blair,Cloud Hosting,2024-10-26,2626.23,Yes
cada0465-9c96-44cb-bbfe-26efa8995e88,Levi Houston,Cloud Hosting,2024-07-27,3133.32,Yes
1ef65eb6-4154-4c78-a829-bfa27d166108,Zachary Nelson,Data Analysis,2024-09-15,2708.24,Yes
7363ba72-1b64-4a30-8d1f-974546403c09,Kelsey Jones,Cloud Hosting,2025-01-18,144.94,Yes
ecb60493-a881-40c7-a749-db38f94864af,Angela Moore,Cloud Hosting,2024-05-30,562.75,No
673e3075-a0a1-4dd6-b651-c7d80a61b6e6,Jason Kennedy,App Development,2025-04-04,3320.25,No
0b437f82-e12c-4dce-a19a-2d570b22c175,Leah Lindsey,Web Design,2024-07-22,3654.58,Yes
7ad20085-78dc-4147-aff2-d9d967e8262d,Justin Martinez,SEO Optimization,2024-05-23,3743.47,Yes
f873b8be-b9c6-4dec-9d75-a590457b67a7,Matthew Hamilton,App Development,2025-02-07,3321.33,Yes
125f2645-c7bf-4710-89f0-88ffd14b38db,Carolyn Harris,App Development,2024-06-13,2712.62,No
2c32d1be-d10b-4fc0-aa5a-6224b46d8bd0,Ricardo Campbell,Data Analysis,2024-12-14,1718.37,No
5f495a76-c286-4cb2-897c-7a4a72bac436,Sandra Bailey,App Development,2024-08-16,1923.01,Yes
de91706e-2437-4fce-b50d-685b7b8dc572,Scott Howard,SEO Optimization,2025-02-17,3339.88,Yes
344a8e7d-06e4-447c-9c29-728f7123616a,Angel Compton,SEO Optimization,2025-04-08,2271.08,Yes
c0523f59-408e-400a-b222-47764c029020,Briana Shepherd,Cloud Hosting,2025-04-06,4189.88,Yes
c9747f0e-7fe0-4b52-882b-893c72406bfd,Brian Poole,Cloud Hosting,2024-12-29,887.73,Yes
c7f01076-1947-4aaa-8eb9-d34e1f9b54b2,David Osborne,IT Support,2025-04-01,3643.16,Yes
a24cba29-5890-4c20-974e-77d02a360486,Brian Stewart,Cloud Hosting,2024-09-03,4288.88,Yes
1ac3ee01-a0a0-4a95-bd83-b9133c703976,Gregory King,IT Support,2024-12-16,4213.06,No
5b133c5c-c15e-45ea-ab68-bc2d6a29362d,Michael Powell,SEO Optimization,2024-07-09,1105.96,No
5a06c5f4-5cd9-4628-8fb4-c575c44bb9b7,Mr. Joe Salazar PhD,App Development,2024-06-20,1381.51,Yes
9ee4891d-f58a-4156-8a30-8451020197a1,Angela Nguyen,Cloud Hosting,2024-10-27,2276.13,No
97ee49f0-4b6e-4dd9-ac99-db55a1f9f962,Jonathan Simmons,SEO Optimization,2025-04-25,1406.96,No
f7b348ec-7af7-4c8c-b488-bd032838afcc,Angela Daniels,SEO Optimization,2024-11-15,4706.05,No
c75813cb-24e3-4035-bdc6-d91901877ad9,Sharon Walton,IT Support,2025-03-16,4235.59,Yes
691950f6-fa2a-41cd-ac5f-beb9db9aec27,Kristin Williams,Cloud Hosting,2024-06-03,4588.16,No
93be7143-5471-4982-bf2b-99eb830af7e4,Kimberly Stout,IT Support,2024-10-02,3845.42,Yes
e2250a93-dfea-4f9e-9f2d-29e3efbb7e66,Dillon White,Web Design,2024-07-30,4959.86,Yes
4d6ac3d1-8aab-4e08-9941-aecb20d1ed40,Angela Andrews,Web Design,2024-07-10,1181.66,Yes
23dfd571-b8b9-4f99-8e0e-a048d10df036,John Howard,Web Design,2025-03-15,1859.55,No
75f19be8-41c0-498f-9cc7-bb73a48c3131,Zachary Doyle,Web Design,2024-10-14,2280.88,No
6688f671-5376-45d5-afbd-9651a97ef029,Robert Chambers,SEO Optimization,2024-12-18,1336.03,No
e0771b72-1c39-4a93-b660-f219cc4eb937,Shawn Buck,Data Analysis,2024-11-23,4410.78,Yes
7e3961b9-cf56-4a65-aa1d-0b93e3dcf4d7,Kelly Cooper,Data Analysis,2024-11-28,1553.27,No
196b5423-64fe-4e0f-a041-736e93789cda,Ryan Baker,Cloud Hosting,2024-07-24,3374.35,No
3956f84e-ab50-4225-89af-62d94211e869,William Burton,Web Design,2025-02-24,1512.79,Yes
25315e3a-90f6-4a9e-9c7f-42f1757ee0b2,Connor Lawson,Web Design,2024-08-31,2063.65,Yes
28f0e4ff-deac-418d-863e-53cddcffa51f,Adrian Valencia,SEO Optimization,2024-09-06,4350.55,Yes
fad0bf1a-fd69-46b3-a7bb-dc3ce5c4e742,Brandy Hubbard,Web Design,2025-03-18,4999.02,No
a10bf381-d0a4-4233-8458-ce31dd978ce3,Michelle Benson,Data Analysis,2025-02-04,2110.35,Yes
7cd3c49b-81d9-4700-a11c-2a4695292b2f,Keith Flores,App Development,2024-10-06,3281.04,No
e8f3894d-782d-421e-9919-d87b7e5172ab,Dr. Elizabeth Perkins,App Development,2025-03-18,484.93,Yes
6a9d2728-3c7d-4a9c-a72c-170c600626b3,Rebecca Pearson,Cloud Hosting,2024-07-29,2386.1,No
ff6e2766-bf88-4c24-8c93-10bfbae21bfc,Nancy Austin,App Development,2024-12-23,4569.88,No
d4f5157c-e6c7-45b6-b70d-80cec6c49dbc,Michael Murphy,App Development,2024-08-22,4272.59,Yes
3102acfe-baa3-4541-a498-719174169d71,Michael Walker,Cloud Hosting,2024-09-12,1823.75,Yes
7bd0f702-893d-46b4-8f07-9e5d556ece11,Connie Sandoval,App Development,2025-04-22,3342.71,Yes
